name,url,ava,county,decade,sub_appellation,current_owner,planted_by,wineries,historical_producers,raw_text,soil_types,varieties_json,ttb_variety
Rinaldi (Eschen),https://historicvineyardsociety.org/vineyard/rinaldi,Fiddletown,Amador,1870s,,Gino Rinaldi,Cox,"Ridge, Santino/Renwood, Karly, Amador Foothill","Renwood, Terre Rouge","Ostrom and Jibbom Street, Fiddletown (20751 Ostrom Road, Fiddletown, California 95629) The vineyard was revitalized in 2000. There are various blocks of different ages since the 1950s. The original 1865 planting might still have an acre of living vines. Remaining vines in the 38 acre original block are 100-plus years old. The total vineyard and ranch parcel is 82 acres. The grapes are contracted to two clients: Rombauer and Terre Rouge & Easton Wines. The vineyard is south-facing, head-trained, and largely dry-farmed. Replanting was done with selections from existing vines.          ",,{},
Rochioli Old Block – Jungle,https://historicvineyardsociety.org/vineyard/rochioli-old-block-jungle,Russian River Valley,Sonoma,1950s,,Joe Rochioli Jr.,Joe Rochioli Jr.,,Rochioli,"Won several awards, Best of Show State Fair, 1993, Sweepstakes at Sonoma County Fair; many awards at various tastings          ",,{},
Rocky Top (Sobon Estates),https://historicvineyardsociety.org/vineyard/rocky-top,Shenandoah Valley,Amador,1920s,,Leon E. Sobon,D'Agostini,,Sobon Estate,The vineyard is planted on St. George rootstock and is head-trained and dry-farmed. It is planted with native cover crop on a slightly sloped rocky knoll and with soils 4-8 feet deep.          ,Rocky; Benchland,{},
Rogers Vineyard,https://historicvineyardsociety.org/vineyard/rogers-vineyard,Dry Creek Valley,Sonoma,1890s,,Wayne Rogers,,A. Rafanelli buys 100% of the Zinfandel. A. Rafanelli has been buying a portion if not all of the grapes since 1984.,"Dry Creek Vineyards made their first three Zinfandel vintages (1973, 1974, 1975) bought from here.
Fritz Underground Winery bought the fruit for a number of years and made a ‘Rogers Reserve’ label.","A. Rafanelli buys 100% of the Zinfandel. A. Rafanelli has been buying a portion if not all of the grapes since 1984. Dry Creek Vineyards made their first three Zinfandel vintages (1973, 1974, 1975) bought from here. Fritz Underground Winery bought the fruit for a number of years and made a ‘Rogers Reserve’ label. Charlie Derrick purchased the property in the 1920s. He then sold the property to Harrison and Amy Rogers in 1962. Harrison pruned the entire 10.5 acres every year into his late 70s and also took on all of the tractor work. Prior to Harrison passing away, his son Wayne took on the vineyard farming from the mid 2000s until 2019. Wayne also has a 15-acre Sauvignon Blanc vineyard he farms. In 2019 Andrew Rogers (Wayne’s son) started farming the vineyard. Andrew worked as a vineyard manager for Gallo for 10 years and departed in 2020 to pursue his own vineyard management business. This vineyard has been farmed by 3 generations between 1962 and 2023 and is still being farmed by a Rogers. The vines are all head-trained Zinfandel. Rootstocks are mostly St. George, although 3 of the blocks had to be replanted because of their AXR1 rootstock. The vineyard is almost all dry-farmed other than any new replanted vines that receive water to get them started. It sits on a rolling knoll with some steep aspects to the vineyard. The rows run north to south.          ",,"{""Zinfandel"": null, ""Sauvignon Blanc"": null}",
Rorick Heritage Vineyard,https://historicvineyardsociety.org/vineyard/rorick-heritage-vineyard,Sierra Foothills,Calaveras,1970s,,Matthew Rorick,,Forlorn Hope,Stevenot Winery,"7 acres of own-rooted, Old Wente clone Chardonnay planted in 1975. Grown in limestone and schist at 2000 feet elevation. Farmed organically.          ",Limestone; Schist,"{""Chardonnay"": null}",
Rossi Ranch,https://historicvineyardsociety.org/vineyard/rossi-ranch,Sonoma Valley,Sonoma,1910s,,,Carlo Rossi,,Carlisle,"“Planted in 1910 by the Rossi Family, this must be one of the most picturesque vineyards in Sonoma County. Farmed organically, there are a variety of hills, undulations, and exposures, all surrounded by a mix of oak and pine/fir forest. Unfortunately, after the death of Val Rossi in 1999, the vineyard fell into disrepair and many of the old vines were lost, including large tracts of Alicante Bouschet and Grand Noir. New owners have completed a massive renovation of the vineyard, preserving not just the remaining old vines but all the original structures as well. A very warm site in the summer and fall, this vineyard is typically pruned late to avoid early spring frost.  As a result, this is often one of our latest picks.  The wines from this ranch reflect the wildness surrounding the vineyard. The aromas and flavors exhibit a briary, peppery, spiciness intertwined with the smell of the native plants in the vineyard. Rossi’s own version of garrigue !”          ",,"{""Alicante Bouschet"": null}",
Rous,https://historicvineyardsociety.org/vineyard/rous,Lodi,San Joaquin,1900s,Mokelumne River (Victor Triangle),Craig Rous,,"Ironstone, Macchia, McCay",,"Aromas of violet, brambles, & berry. Rich mouthfeel with elegant tannins. Complex. Planted on St. George rootstock, this is one of the earliest grafted vineyards in Lodi.          ",,{},
Rue Vineyard,https://historicvineyardsociety.org/vineyard/rue-vineyard,Russian River Valley,Sonoma,1910s,,,,,Rue,          ,,{},
Russi Vineyard,https://historicvineyardsociety.org/vineyard/russi-vineyard,Russian River Valley,Sonoma,1900s,,Chris Russi,,Comstock Wines,"Christopher Creek Winery from 1999 to 2007, Thomas George Estates from 2008 to 2012, Comstock Wines from 2013 to the present","Christopher Creek Winery from 1999 to 2007, Thomas George Estates from 2008 to 2012, Comstock Wines from 2013 to the present Dark, inky wine with cocoa, coffee, black plum & clove characters. Tends to make high pH wines. The vineyard is 860 vines total. About 160 vines are old vine Carignane and 700 are old vine Zinfandel. The vineyard was purchased by winemaker Chris Russi in 2004 and he personally manages the vineyard. All head-trained old vine Zinfandel and Carignane planted on the valley floor in deep sandy alluvial soil. Chris replanted 220 vines to Ulises Valdez’s St. Peter’s Church clone in 2018.          ",Sand; Alluvial,"{""Zinfandel"": null}",
Saini,https://historicvineyardsociety.org/vineyard/saini,Dry Creek Valley,Sonoma,1920s,,,,"Saini, Seghesio",,"Planted in 1926, these vineyard blocks are some of the oldest in the Dry Creek Valley and are farmed by fourth-generation Saini family members.          ",,{},
Saint Marie Vineyard,https://historicvineyardsociety.org/vineyard/saint-marie-vineyard,Paso Robles,Paso Robles,1960s,,Stephanie Shakofsky,Richard Sauret,,"Rosenblum, Ridge, Eberle, Opolo. The grapes from this vineyard were used in producing some of the great Rosenblum Zins of the 1990s and early 2000s.","Located at the base of the Santa Lucia Mountains, this West Paso Robles hillside vineyard is planted with half-century-old head-pruned Zinfandel vines embedded in limestone, shale and clay soils. Rosenblum, Ridge, Eberle, Opolo. The grapes from this vineyard were used in producing some of the great Rosenblum Zins of the 1990s and early 2000s. The old vine characteristics of this fruit come shining though: unrepressed blackcurrant fruit, sweet cherry, and lively, brambly, peppery flavors, lending the wine a concentration that keeps it far from cloyingly sweet. Over the years, the fruit from this vineyard were sold to Rosenblum Cellars, who produced a vineyard designated wine in 2001 selected by “Wine Spectator” magazine for inclusion on its list of “The Top 100 Wines in the World” in 2003. The 2002 vintage was selected as #41 on the 2004 list and the 2003 vintage was selected as #30 on the 2005 list. Planted in 1965 by renowned winegrower Richard Sauret with what is now designated as the Sauret Zinfandel Clone, these own-rooted vines maintain low yields and promise compact fruit with ripe, rich berries, and intensely concentrated old-vine flavors. The vines were originally planted for dry farming on a 10′ x 10′ grid but Richard installed a drip irrigation system in 1978.          ",Clay; Limestone; Shale; Benchland,"{""Zinfandel"": null}",
Saitone,https://historicvineyardsociety.org/vineyard/saitone,Russian River Valley,Sonoma,1890s,,Williams Selyem,,"Williams Selyem, DeLoach, Hook & Ladder","Carlisle, Bedrock","“Once part of the Nicholas Carriger Estate (Nicholas Carriger was a good friend of General Vallejo and an early settler of Sonoma County after striking it rich in the Gold Rush), Saitone Ranch is the oldest of the old-vine vineyards remaining in the Piner-Olivet area with records indicating that the vines were in the ground and growing as early as 1895.  Several blocks of Carignan, Zinfandel, Alicante Bouschet, and Palomino (aka Chasselas Doré) comprise the bulk of the remaining 17 acres of largely dry-farmed old vines.  Interplanted Muscadelle, Colombard, Muscat of Hamburg, Aramon, Petit Bouschet, Criolla Mediana, and Grand Noir also make an appearance.”          ",,"{""Carignan"": null, ""Zinfandel"": null, ""Alicante Bouschet"": null, ""Palomino"": null, ""Colombard"": null}",
Saucelito Canyon,https://historicvineyardsociety.org/vineyard/saucelito-canyon,Arroyo Grande Valley,San Luis Obispo,1880s,,,,,Saucelito Canyon Vineyard,"Grandchildren of homesteaders, Henry and Rosa Ditmas.  Bill Greenough purchased the vineyard from the two granddaughters in the photo. The grandson passed in the influenza epidemic of 1918. Saucelito Canyon Vineyard in 1974, when purchased by William Greenough Saucelito Canyon Vineyard, late 1970's showing retrained head-pruned vines          ",,{},
Schmiedt – Dairy Vineyard,https://historicvineyardsociety.org/vineyard/schmiedt-dairy-vineyard,Lodi,San Joaquin,1910s,Mokelumne River AVA,Schmiedt Family,Unknown,Twisted Roots Winery,,"Only 4 acres remain of the original vineyard, with all the remaining head-trained vines being unaltered over the years.          ",,{},
Schmiedt Vineyard (Carl Schmiedt),https://historicvineyardsociety.org/vineyard/schmiedt,Lodi,San Joaquin,1900s,Mokelumne River,Carl Schmiedt,,Viaggio Estate and Winery,"Cherokee, Gallo, Gnekow, Sutter Home",Cherry Rd. 1/4 mile east of Mokelumne River and 1 mile north of Victor Rd and 3.5 miles east of the city of Lodi Planted on its own roots around 1902 and at that time using no stakes or only redwood stakes. Always family owned and operated.          ,,{},
Schoolhouse Vineyard,https://historicvineyardsociety.org/vineyard/schoolhouse-vineyard,California,Los Angeles County,1890s,,Hughes – Elizabeth Lake School District,Munz Family,Cavaletti Vineyards,"Bush-trained Mission planted on its own roots dating back to the early days of the California wine industry and its birthplace in Los Angeles County. Originally 50 acres, the vineyard has been reduced to just over 2 acres today. The vineyard was abandoned around 1960 and has been growing wild among the sagebrush for the last 60 years. It has been burned to the ground repeatedly in wildfires during that period.","Located at 3800 feet of elevation in the Sierra Pelona Mountains and directly on the San Andreas Fault. Loose, decomposed granite soils. Bush-trained Mission planted on its own roots dating back to the early days of the California wine industry and its birthplace in Los Angeles County. Originally 50 acres, the vineyard has been reduced to just over 2 acres today. The vineyard was abandoned around 1960 and has been growing wild among the sagebrush for the last 60 years. It has been burned to the ground repeatedly in wildfires during that period.          ",Decomposed Granite,{},
Seghesio Home Ranch,https://historicvineyardsociety.org/vineyard/home-ranch,Alexander Valley,Sonoma,1890s,,Seghesio Family Vineyards,Edoardo Seghesio,Edoardo Seghesio,,"This deeply colored wine offers aromas of black cherries, ripe plums and Home Ranchs’ intrinsic sweet earth tones. Full-bodied flavors of black cherries, raspberries and a wild mulberry note glide over the velvety tannins. Balanced with richness, this wine has nice staying power and is built to age. Aged in French oak puncheons and concrete tanks. A seven-acre Zinfandel field blend planted by founder Edoardo Seghesio in 1895. This vineyard produces our flagship Zinfandel wine, Home Ranch Zinfandel. These head-trained vines reside in non-fertile shallow top soils, which aid in limiting vine vigor and producing limited amounts of small berried Zinfandel clusters. Typically, the other varietals that are interplanted ripen at the same time, but if not these vines are harvested later and ultimately blended back into the Zinfandel.          ",,"{""Zinfandel"": null}",
Shadow Mountain,https://historicvineyardsociety.org/vineyard/shadow-mountain,San Diego,San Diego,1970s,South Coast,"North Mountain Vineyards, LLC",Gus and Helen Mase,,Shadow Mountain Vineyards,"The terroir components of the gravelly decomposed granite soil is strongly evident in all of the wines produced from grapes in these vineyards. Property purchased in 1945, planted in 1951. Additional vineyards planted in the late 1950s, 1960s, and 1970s, all by first- and second-generation Italian family members. Estate was under Alexander and Pamela McGeary from 1990 through 2021 when it was expanded to 18 planted acres. Purchased by North Mountain Vineyards, LLC, in October 2021.          ",Gravel; Decomposed Granite,{},
Sky Vineyards – 1973 St. George Block,https://historicvineyardsociety.org/vineyard/sky-vineyard-1973-st-george-block,Mt. Veeder,Napa County,1970s,,Lore Olds,,Sky Vineyards,,"Intensely red fruited, firm mountain tannin, with a vein of sharp acidity that lends the wines to a long aging potential. If it is accurate that vines often reflect the character of the farmer that tends them, the Sky Vineyards ’73 planting of Zinfandel on St. George rootstock is living proof. Head trained to a height that suits the 6’1″ frame of Lore Olds, who has continuously pruned this block since its inception. Having survived the dual calamities of AXR-induced phylloxera that saw much of the original plantings torn out in the late 1990s and the 2017 fires, both these vines and the Olds family continues to endure. At 1/3 of an acre, the block is the second-oldest Zinfandel block on Mt. Veeder after Brandlin Ranch. Planted at 2200′ elevation in red, volcanic loam soil similar to what is found at nearby Monte Rosso Vineyard.          ",Loam; Volcanic,"{""Zinfandel"": null}",
Sodini,https://historicvineyardsociety.org/vineyard/sodini,Russian River Valley,Sonoma,1900s,,Steve Sodini,Giuseppe Sodini,Bedrock Wine Co.,"Sodini Winery, Rochioli","“Planted in 1905, Sodini Vineyard is located along Limerick Lane in the far eastern reaches of Russian River Valley. Dry-farmed and low-cropping, the resulting wines tend to be a hybrid of the opulence found in Dry Creek with the bright acids and freshness of Russian River Valley—aka, delicious. The vineyard was used by Chris Bilbro at Marietta Cellars in 1978 and continued to go to the winery until 2012, when we started taking the fruit. In addition, Rochioli vineyard designated fruit from the hillside block in the 1990s. Just as the vineyard character is a hybrid of Dry Creek weight and Russian River flash and perfume, the soils are a similar reflection of the two areas. The flat section of the vineyard features sandy-clay loam soils very typical of the Russian River Valley plain while the hillside features red clay loam soils more similar to those found at Teldeschi Ranch on the Dry Creek Bench. In addition to this the soils are chalk flecked, a reminder that Chalk Hill is also in close proximity.”          ",Clay; Clay Loam; Loam; Sand; Limestone; Benchland,{},
Stags’ Leap Winery Block 5 – ‘Ne Cede Malis’,https://historicvineyardsociety.org/vineyard/stags-leap-winery-block-5-ne-cede-malis,Stags Leap District,Napa County,1920s,,,,,,          ,,{},
Stampede Vineyard,https://historicvineyardsociety.org/vineyard/stampede-vineyard,Lodi,,1920s,Clements Hills,"Georgia, Jeff & John Perlegos",J.J. Zechmeister & C.H. Suess,"Bedrock Wine Company, Fields Family Winery, Scholium Project, Maitre de Chai Wine","Deluca (east coast winegrape shipment), Ravenswood, Constellation","Planted on the old southern embankment of the Mokelumne River. It is situated directly west of the Clements Buckaroos Rodeo Grounds. The famous Clements Stampede Rodeo is the biggest amateur rodeo in the country. Bedrock Wine Company, Fields Family Winery, Scholium Project, Maitre de Chai Wine Deluca (east coast winegrape shipment), Ravenswood, Constellation The vineyard is own-rooted and mostly Zinfandel with several Mission and a few Mourvedre mixed in. There are also old Tokay vines as well which aren’t used for wine.          ",Rocky,"{""Zinfandel"": null, ""Mourvèdre"": null}",
Star Valley Vineyard,https://historicvineyardsociety.org/vineyard/star-valley-vineyard,Lodi,San Joaquin County,1960s,,JW Moore Vineyards,JW Moore Vineyards,"Comartin Cellars, Alliance Winery",,"West Side Lodi with a mixture of Tokay and Devries Sandy Loam. 10′ x 10′ spacing. Located on the corner of Davis Rd and Larson Rd. Closest cross street is State Route 12. Blackberry, vanilla, caramel. Bright cherry and raspberry when left to ripen longer. Vineyard was planted by James and Marilyn Moore in 1962. The site consists of own-rooted vines from the family clone from the late 1800s. 95% of the 8 acres are still the original vines. 2016 was the first vintage that the vineyard produced a single source Old Vine Zinfandel.          ",Sandy Loam; Loam; Sand,"{""Zinfandel"": null}",
Stony Hill Vineyard (1948 Block),https://historicvineyardsociety.org/vineyard/stony-hill-vineyard-1948-block,St. Helena,Napa County,1940s,Spring Mountain District,Lawrence Wine Estates,Frederick and Eleanor McCrea,The entirety of this block is dedicated to Stony Hill wine production.,"In the early years, the McCrea’s were selling Riesling to Lee Stewart of Souverain.","Stony Hill sits on steep terraces on the eastern side of the Mayacamas Mountains in the Spring Mountain District AVA of the Napa Valley, located between the towns of St. Helena and Calistoga and bordered by Ritchie Creek to the north and Mill Creek to the south. The entirety of this block is dedicated to Stony Hill wine production. In the early years, the McCrea’s were selling Riesling to Lee Stewart of Souverain. This Riesling block lends itself to a wine of mineral character, balance, elegance, and ageability. Made in a crisp and light style with only the slightest amount of residual sugar. This historic vineyard is the oldest single variety Riesling vineyard in America and is cherished by many. In 1948 when Frederick and Eleanor McCrea planted these vines along with Chardonnay and Pinot blanc, they set the tone for a new level of excellence in white wine production in Napa Valley. The McCreas had been encouraged by the team at UC Davis to plant several white varieties as they were getting to know their terroir. Their project was not only the first new winery established after the repeal of Prohibition, but also the first Napa Valley winery dedicated solely to whites. These vines are all that remain of the original planting. The Riesling cuttings were pulled from Inglenook Vineyards and planted on St. George rootstock. These vines are head-trained, spur-pruned, and were dry-farmed up until this point when the drought has proved to be a formidable challenge. Planted on terraces on a steep volcanic slope, the roots are encouraged to search deep for water and nutrients, channeling pure expression of site. Farming practices now include no-till, organic and biodynamic methods to nurture these vines and the surrounding ecosystem.          ",Rocky; Volcanic; Benchland,"{""Riesling"": null, ""Chardonnay"": null, ""Pinot Blanc"": null}",
Stubborn Scot,https://historicvineyardsociety.org/vineyard/stubborn-scot,Lodi,San Joaquin,1960s,Mokelumne River,Charles and Sandra Starr,John Henry Lauchland and family,LangeTwins Winery,"Trinchero
Campus Oaks
M&R Packing Co. Broker
LangeTwins Winery","Located within the Lodi AVA, classic Mokelumne sub-appellation. Planted by patriarch Jack Henry Lauchland and his five daughters in the early 1960s. Jack was a hard working man who valued the worth in everything, including a bent nail (he would hammer it back to usefulness). His resourceful ethic drove him to see the value in this Bermudagrass covered parcel of land, planting what would become a family legacy. All five daughters worked in the field until the Zinfandel vines thrived and the invasive Bermudagrass was a distant memory. Eventually they triumphed to enjoy this vineyard that still persists today. The house within the 20-acre parcel block was a tuberculosis hospital in the early 1900s. The home has been a private residence for many years since but remains of historical significance.          ",,"{""Zinfandel"": null}",
Taylor Family Vineyard,https://historicvineyardsociety.org/vineyard/taylor-family-vineyard,Dry Creek Valley,Sonoma,1890s,,Patrick & Eivor Taylor,A branch of the Buchignani family,The Prisoner,"Pedroncelli; Sonoma County Co-Operative Winery, the 1970s; Lambert Bridge in the 1980s; Benziger","In the upland ridge north of Canyon Road and on the east side of Dry Creek Valley Pedroncelli; Sonoma County Co-Operative Winery, the 1970s; Lambert Bridge in the 1980s; Benziger Complex, rich, dark berry flavors, hints of chocolate and pepper. 20 acres of today’s vineyard were planted in the 1890s and dry farmed until 1990. The two acres remaining today are gnarled and hollowed out with age, but still produce adequately with the grapes making exquisite wine.          ",,{},
Teldeschi Ranch,https://historicvineyardsociety.org/vineyard/teldeschi-ranch,Dry Creek Valley,Sonoma,1890s,,John and Caterina Teldeschi,Teldeschi Family,"Bedrock Wine Co., Truett-Hurst","Ravenswood, Joseph Swan",Vineyard is spread across three ranches on the east bench of Dry Creek Valley.          ,Benchland,{},
Tofanelli,https://historicvineyardsociety.org/vineyard/tofanelli,Napa Valley,Napa,1920s,,Pauline DiGuilio Tofanelli,Sebastial and Irene DiGiulio,"Gallo, Christian Brothers, BV Cellars, Inglenook","Turley, Tofanelli, Swift","The vineyard has always been under the care of the establishing family. It is one of the last examples of pre-World War II grape growing in the Napa Valley. The methods we still use were once prevalent throughout the valley: no irrigation (not even a drip line to be seen), an organic philosophy (we never jumped on the bandwagon of post-war pesticides), and no trellis systems on our red varietals (these vines are free standing without wire support).          ",,{},
Two Acres,https://historicvineyardsociety.org/vineyard/two-acres,Russian River Valley,Sonoma,1910s,,Peter and Elizabeth Meirik,,Eagle Ridge Winery,Carlisle,"Cherry, currant, cardamom, tree bark, pine, pepper, rose petal, licorice, cream Very rare to see an old-vine vineyard this high in Mourvèdre, especially in the Russian River Valley. The vineyard used to be approximately 20 acres but was subdivided in the 1970s and sold off for custom home lots. While a few homeowners kept a few vines (more for decoration than anything), only one owner kept a two-acre piece of the vineyard intact. The vineyard was on the brink of death in 1996 but has been carefully restored back to life. “A true gem in Sonoma County! There is little old-vine Mourvèdre in Sonoma County. Yet, here we have two acres of predominantly Mourvèdre planted in 1910. Other varieties planted include Petite Sirah (10%), Syrah (6%), Carignan (4%), Peloursin (3%), and Alicante Bouschet (2%). There are also a few Zinfandel vines in addition to nine whites of a variety called Helena (a white cross of Zinfandel and Mondeuse noir).”          ",,"{""Petite Sirah"": 10.0, ""Syrah"": 6.0, ""Carignan"": 4.0, ""Peloursin"": 3.0, ""Alicante Bouschet"": 2.0, ""Mourvèdre"": null, ""Zinfandel"": null}",
Under the Mountain,https://historicvineyardsociety.org/vineyard/under-the-mountain,Santa Clara Valley,Santa Clara,1910s,,Little Arthur Creek Land CO,,Bedrock and Storrs wineries,,"Located at 4590 Redwood Retreat Road Gilroy, CA (west of city of Gilroy in the Santa Cruz Mountains) Several acres of “mixed blacks” (mostly Zinfandel), a couple of acres of Carignane, and one block of Petite Sirah Morgan Twain-Peterson estimates that the vineyard was planted prior to World War One. Surrounded by forest, it is in a beautiful setting below Mt Madonna. Standing among the vines you can see redwood trees above you while experiencing cool afternoon breezes in a very private setting hidden away in the forest.          ",,"{""Zinfandel"": null, ""Petite Sirah"": null}",
Valsecchi,https://historicvineyardsociety.org/vineyard/valsecchi,Sonoma Valley,Sonoma,1900s,Carneros,Valsecchi Family,,,Biale,"Vineburg, near the town of Sonoma, next to the Vineburg Post Office on Eighth The vineyard – a remnant of a once larger one – was planted around 1900 before being taken over years later by a retired Swiss immigrant dairyman named John Valsecchi (pronounced Valsecky). Today, the vineyard is still in the same family and is looked after by Valsecchi’s grandson and home winemaker Ron Mick. The uniqueness of Valsecchi is enhanced by the fact that it is the oldest vineyard in the Carneros Appellation and one of the cool-climate district’s few Zinfandel vineyards.          ",,"{""Zinfandel"": null}",
van der Kamp Vineyard – Heritage Block,https://historicvineyardsociety.org/vineyard/van-der-kamp-vineyard,Sonoma Valley,,1950s,,The van der Kamp Family,The Cundiff Family,"POE
La Rochelle
Alquimista Cellars
Lost & Found
DeLoach Vineyards","Sebastiani Winery bought most of this fruit in the 1950s and earlier, I believe.","This 25-acre vineyard lies on a north-facing bench of Sonoma Mountain. POE La Rochelle Alquimista Cellars Lost & Found DeLoach Vineyards Sebastiani Winery bought most of this fruit in the 1950s and earlier, I believe. Ripe red fruits and juicy plum characteristics with a masculine backbone of spicy mountain tannins, lending the grapes an overall earthy forest floor aroma This site has always held cultural and religious significance to the native people of the area. A Pomo creation myth cited Sonoma Mountain as the birthplace of man, much like the Garden of Eden. There are many freshwater springs on this particular bench of the mountain, which we are told brought various neighboring tribes and communities to this site as a neutral trading area. Many native artifacts have been found here and still appear to this day. In more recent history, it has been continuously farmed as a family vineyard for the past 100 years. It has always been a small family business, with the family living onsite and farming many diverse crops and animals in addition to the vineyard and with a continued close spiritual connection to the land. The old vine Pinot Noir is planted on St George rootstock in Spreckels loam soil.          ",Loam; Benchland,"{""Pinot Noir"": null}",
Varozza,https://historicvineyardsociety.org/vineyard/varozza,St. Helena,Napa,1900s,,Varozza Family,Emil Zange,Varozza,Biale,"Just north of St. Helena on Pratt Avenue next to the restored winery Expressive black berry, plumb and stone fruits; toasty spice and mineral aromas “The Varozza ranch is an iconic St. Helena landmark featuring an old wood and stone winery that dates back to the days when stonemasons and craftsmen built the original winery for Emil Zange in 1885. Joseph Varozza, who was a St. Helena blacksmith, purchased the property in 1913 and made wine there until his death in 1946. This beautiful property has remained in the Varozza family for the past 97 years! For decades Harold Varozza operated the ranch after his father passed, selling the grapes to local wineries and in 1999 Harold’s son Jack and Jack’s wife Dianna took over the ranch and now produce estate grown wines under their own label: www.varozzavineyards.com … There is a patch of classic head-trained Zinfandel vines that, heading south, connects to a younger block of trellised vines. Planted on stony, alluvial soils between York Creek and the Napa River, the old and younger vines here produce wines that are a little darker with more black fruit than typical of St. Helena with great textural feel and firm structure.” This vineyard contains old-vine blocks of Cabernet Sauvignon, Petite Sirah, and Zinfandel.          ",Rocky; Alluvial,"{""Zinfandel"": null, ""Cabernet Sauvignon"": null, ""Petite Sirah"": null}",
Venturi,https://historicvineyardsociety.org/vineyard/venturi,Mendocino,,1970s,,,,,,          ,,{},
Vineyard 101,https://historicvineyardsociety.org/vineyard/vineyard-101,Alexander Valley,Sonoma,1920s,,Turley Wine Cellars,,Turley Wine Cellars,,"Located in Sonoma, this certified organic vineyard was planted in the 1920s. At only 2 ½ acres, it is the smallest site Turley makes into a vineyard designate. The wines are aromatic and light, with lots of fruit and great acidity.          ",,{},
Wegat Vineyard,https://historicvineyardsociety.org/vineyard/wegat-vineyard,Lodi,San Joaquin,1950s,Mokelumne River,Todd Maley,Joe and Lou Maley,"Bogle, Michael David, Macchia, Soquel Vineyards, Drava, Maley Bros., Lodi Native","Ravenswood (1999-2009), Kendall-Jackson, Woodbridge Vineyard Association","Bogle, Michael David, Macchia, Soquel Vineyards, Drava, Maley Bros., Lodi Native Ravenswood (1999-2009), Kendall-Jackson, Woodbridge Vineyard Association Joe and Lou Maley planted St. George rootstock on the west side of Lodi and then did their own grafting with Zinfandel budwood in 1958. The vines are head-trained, planted to a 9′ x 9′ vine spacing, and growing in Tokay sandy loam. The vines have nice, loose bunches and typically yield 3 tons/acre. The current owner, Todd Maley, is a founding member of the Lodi Native Project and has produced 10 vintages of Zinfandel bottled for this project from Wegat Vineyard. Wegat Vineyard has been certified for over 10 years in the LODI RULES Sustainable Winegrowing program.          ",Sandy Loam; Loam; Sand,"{""Zinfandel"": null}",
Wellington,https://historicvineyardsociety.org/vineyard/wellington,Sonoma Valley,Sonoma,1890s,Sonoma Valley,Peter Wellington,Ben Behler,Wellington Vineyards,"Wellington 1989 – present, Sebastiani ca. 1940 -1990, Behler 1892 – ca. 1940","Wellington 1989 – present, Sebastiani ca. 1940 -1990, Behler 1892 – ca. 1940 Multiple varieties are used in both varietal and non-varietal wines.  Grapes ripen fully with excellent acid levels. A multitude of varieties, including Zinfandel, Carignan, Durif (aka Petite Sirah), Syrah, Grenache, Mourvedre, Tempranillo, Mission, Alicante Bouschet and three other teinturiers, Cabernet Sauvignon, Semillon, Muscadelle de Bordelais (aka Sauvignon Vert), Colombard, Monbadon (aka Burger), Palomino, and Sylvaner.          ",,"{""Zinfandel"": null, ""Carignan"": null, ""Durif"": null, ""Petite Sirah"": null, ""Syrah"": null, ""Grenache"": null, ""Mourvèdre"": null, ""Tempranillo"": null, ""Alicante Bouschet"": null, ""Cabernet Sauvignon"": null, ""Colombard"": null, ""Monbadon"": null, ""Burger"": null, ""Palomino"": null}",
Wheeler Vineyard,https://historicvineyardsociety.org/vineyard/wheeler-vineyard,San Benito,San Benito County,1970s,,Circle S Vineyards,Bob Wheeler,,,"Wheeler Vineyard is the oldest of the four vineyards managed by Circle S Vineyards. It was purchased by Ron Siletto, former president of Almaden Vineyards, in 1995. Tres Pinos Creek runs along its border to the South. The elevated gravelly alluvial terrace on the south side was planted by Bob Wheeler, who used to produce grapes for Almaden, in 1974 to Cabernet Sauvignon (Inglenook), on AxR1 rootstock. The well drained alluvial fan to the north and below was planted in 1977 to plantings of Chardonnay (Wente) for Ken Volk. In 2007, 1.5 acres of Sangiovese (Brunello Grosso) were added to the terrace.          ",Gravel; Alluvial,"{""Cabernet Sauvignon"": null, ""Chardonnay"": null, ""Sangiovese"": null}",
Whitton Ranch (Geyserville),https://historicvineyardsociety.org/vineyard/whitton-ranch-geyserville,Alexander Valley,Sonoma,1880s,,Ridge Vineyards,The orchardist A. Boutin planted in 1882 (Old Patch) and 1891 (Old Carignane),Ridge Vineyards,Trentadue,"Blackberry, plum, cherry, cedar and mint on the nose, elegant minerality on the palate The Old Patch vines are the oldest vines that Ridge farms. They were planted by A. Boutin, a colleague of Luther Burbank, who named his estate Heart’s Desire. Ridge’s Heritage Zinfandel selection from this block is appropriately named Heart’s Desire. Ridge has made wine from these grapes every year since 1966; the Old Patch and Old Carignane blocks are the heart and soul of our Geyserville bottling.          ",,"{""Zinfandel"": null}",
